QLBES version12-12-2017,,,,,,,,
Starting_2108,hours,GMT,13_Dec2017,,,,,
wallets,1000,blocks,5000,,,,,
Using Python secrets module for cryptographically strong random numbers,,,,,,,,
useRetarget = True, retarget on every block,,,,,,,
Using target scaling, targetScalingFactor,1.05,starting step,16,,,,
Loading wallets with Mainnet distribuition,,,,,,,,
useDynamicWeights = False, wallet weights are fixed during the simulation run,,,,,,,
trueNetworkWeight,20026263,,,,,,,
block,wallet,wallet weight,true network weight,new network weight,network weight,target,difficulty,spacing
332,28,118654,20026263,19741500,16650030.26,793940.2113,3395595.741,80
333,23,130124,20026263,19743250,16612635.46,792817.4392,3400404.515,96
334,861,16064,20026263,19744750,16678477.74,791696.2549,3405220.1,96
335,975,18800,20026263,19746250,16693226.79,795055.0511,3390834.378,224
336,16,157617,20026263,19748000,16734341.7,795055.0511,3390834.378,128
337,899,16976,20026263,19749500,17043587.17,792806.3538,3400452.061,64
338,0,1911538,20026263,19750750,17007484.81,794488.1067,3393254.068,176
339,1,892220,20026263,19752250,16576062.5,800105.8412,3369429.219,288
340,398,4952,20026263,19753750,16538872.25,798974.3499,3374200.937,96
341,8,198284,20026263,19755000,16630354.61,796714.5674,3383771.441,64
342,15,167033,20026263,19756250,16697390.07,793334.4808,3398188.362,32
343,954,18296,20026263,19757500,16898586.88,789407.7766,3415091.768,16
344,639,10736,20026263,19758750,17024194.27,788849.5954,3417508.249,112
345,18,146705,20026263,19760000,17208143.53,785502.8763,3432068.91,32
346,600,9800,20026263,19761000,16846201.67,789390.817,3415165.14,240
347,28,118654,20026263,19762250,16971013.4,787716.3093,3422425.013,80
348,989,19136,20026263,19763250,16989245.15,786045.3537,3429700.318,80
349,21,137152,20026263,19764250,17228525.1,783266.3353,3441868.849,48
350,884,16616,20026263,19765250,17137722.25,781604.8193,3449185.488,80
351,912,17288,20026263,19766250,17019888.5,779946.8279,3456517.68,80
352,3,800279,20026263,19767000,17093661.55,776637.879,3471244.544,32
353,3,800279,20026263,19768000,17224472.52,773892.1202,3483560.473,48
354,2,825187,20026263,19768750,17301566.18,771156.0688,3495920.098,48
355,39,91384,20026263,19769500,18000269.74,768429.6906,3508323.576,48
356,981,18944,20026263,19770250,18089774.14,768429.6906,3508323.576,128
357,22,134073,20026263,19770750,17843771.96,768973.0385,3505844.633,144
358,0,1911538,20026263,19771500,18208328.68,767885.5744,3510809.54,96
359,3,800279,20026263,19772000,17808744.23,772772.2424,3488608.742,272
360,38,97994,20026263,19772500,17656488.59,776597.1713,3471426.5,240
361,920,17480,20026263,19773000,17593173.17,773851.5564,3483743.074,48
362,2,825187,20026263,19773500,17357311.57,777681.8275,3466584.797,240
363,5,258679,20026263,19774000,17408203.43,778231.7174,3464135.346,144
364,0,1911538,20026263,19774250,17231998.82,778231.7174,3464135.346,128
365,4,431691,20026263,19774750,17481656.31,779882.5536,3456802.55,176
